id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>
6174	galley d.j.	0.7565	-0.1053	3	80	387	22
6570	golob p.	0.4362	-0.8841	3	115	1282	84
6665	goswami a.	0.1536	-0.5926	3	64	228	21
6747	greenspan l.	1.2217	-0.4179	3	61	284	20
6836	guedes r.n.c.	-0.2969	0.4423	2	147	972	87
7027	hagstrum d.w.	0.3406	0.0873	2	130	1176	89
7158	hance t.	-0.58	-0.0598	1	100	380	34
7287	hasan m.m.	-0.0193	0.8201	2	120	532	27
7321	hassanali a.	-0.4874	-0.3954	1	124	750	64
7333	haubruge e.	0.6409	-0.4562	3	100	438	31
7527	hill d.s.	0.4402	-0.2072	3	102	539	31
7568	ho s.h.	-0.6481	-0.3922	1	138	1226	94
7739	howard r.w.	0.6495	-0.8652	3	84	485	26
